game_index,decision_index,elapsed_ms,eligible,search_begin_ok,visits
3,27,711.3912,1,1,60
3,28,704.4117,1,1,59
3,29,1.1739,0,0,0
3,30,704.3060,1,1,58
3,31,1.3832,0,0,0
3,32,1.2451,0,0,0
3,33,712.0435,1,1,59
3,34,708.0177,1,1,60
3,35,1.4649,0,0,0
3,36,704.7984,1,1,59
3,37,711.3384,1,1,59
3,38,6.0197,0,0,0
3,39,709.5970,1,1,60
3,40,710.5204,1,1,60
3,41,709.9141,1,1,60
3,42,1.0745,0,0,0
3,43,1.0422,0,0,0
3,44,709.3395,1,1,58
3,45,1.6672,0,0,0
3,46,704.2032,1,1,65
3,47,1.3526,0,0,0
3,48,711.1754,1,1,69
3,49,1.8680,0,0,0
3,50,705.5069,1,1,91
3,51,1.5274,0,0,0
3,52,706.3189,1,1,111
3,53,704.3337,1,1,94
3,54,705.3849,1,1,145
3,55,702.1203,1,1,133
3,56,1.5241,0,0,0
3,57,701.2263,1,1,150
3,58,701.9230,1,1,268
3,59,1.3244,0,0,0
3,60,701.8675,1,1,343
3,61,704.7443,1,1,313
3,62,1.3890,0,0,0
3,63,1.1768,0,0,0
3,64,1.2667,0,0,0
3,65,1.0683,0,0,0
3,66,1.1070,0,0,0
3,67,1.2662,0,0,0
3,68,1.2963,0,0,0
4,0,0.2174,0,0,0
4,1,0.6922,0,0,0
4,2,0.8631,0,0,0
4,3,706.8810,1,1,84
4,4,1.2448,0,0,0
4,5,708.9273,1,1,89
4,6,703.1952,1,1,88
4,7,703.4263,1,1,85
4,8,706.2477,1,1,73
4,9,709.0991,1,1,73
4,10,0.8837,0,0,0
4,11,709.7673,1,1,72
5,0,0.2105,0,0,0
5,1,1.2196,0,0,0
5,2,702.6038,1,1,79
5,3,1.4474,0,0,0
5,4,704.6880,1,1,93
5,5,701.1080,1,1,95
5,6,1.0492,0,0,0
5,7,704.3360,1,1,99
5,8,701.4173,1,1,96
5,9,705.8463,1,1,103
5,10,704.1280,1,1,104
5,11,1.0799,0,0,0
5,12,707.3077,1,1,110
5,13,701.1514,1,1,109
5,14,0.9865,0,0,0
5,15,0.8324,0,0,0
5,16,703.4698,1,1,113
5,17,0.8643,0,0,0
5,18,703.5291,1,1,116
5,19,704.6056,1,1,114
5,20,1.3196,0,0,0
5,21,703.4861,1,1,110
5,22,1.2816,0,0,0
5,23,704.2745,1,1,98
5,24,701.5323,1,1,108
5,25,703.5546,1,1,115
5,26,1.0391,0,0,0
5,27,701.0356,1,1,135
5,28,1.2046,0,0,0
5,29,701.6779,1,1,239
5,30,702.2066,1,1,264
5,31,704.9264,1,1,251
5,32,0.9850,0,0,0
5,33,703.3692,1,1,390
5,34,1.4790,0,0,0
5,35,1.1465,0,0,0
5,36,1.1413,0,0,0
5,37,702.0137,1,1,734
5,38,701.3649,1,1,906
5,39,1.0678,0,0,0
5,40,701.9839,1,1,806
5,41,701.3164,1,1,537
5,42,701.8962,1,1,649
5,43,705.3776,1,1,402
5,44,1.1246,0,0,0
6,0,0.2487,0,0,0
6,1,0.8268,0,0,0
6,2,701.5554,1,1,152
6,3,702.5600,1,1,161
6,4,707.6390,1,1,76
6,5,709.0832,1,1,79
6,6,710.2145,1,1,60
6,7,1.4227,0,0,0
6,8,1.0488,0,0,0
6,9,1.3227,0,0,0
6,10,711.2325,1,1,58
6,11,707.3306,1,1,58
6,12,701.8188,1,1,57
6,13,702.3518,1,1,57
6,14,1.0693,0,0,0
6,15,708.8573,1,1,56
6,16,1.6716,0,0,0
6,17,702.6397,1,1,58
6,18,1.2481,0,0,0
6,19,706.9785,1,1,68
6,20,1.2284,0,0,0
6,21,704.3908,1,1,67
6,22,1.3014,0,0,0
6,23,704.8281,1,1,113
6,24,710.9919,1,1,75
6,25,1.3712,0,0,0
6,26,701.8882,1,1,118
6,27,703.3628,1,1,124
6,28,1.2256,0,0,0
6,29,711.0796,1,1,61
6,30,713.6532,1,1,61
6,31,711.5420,1,1,60
6,32,713.2590,1,1,61
6,33,705.4418,1,1,59
6,34,1.4714,0,0,0
6,35,1.6235,0,0,0
6,36,1.2887,0,0,0
6,37,1.1116,0,0,0
6,38,1.4171,0,0,0
6,39,707.7845,1,1,86
6,40,707.1087,1,1,90
6,41,704.2306,1,1,90
6,42,703.7276,1,1,93
6,43,1.2677,0,0,0
6,44,1.3263,0,0,0
6,45,706.5080,1,1,123
6,46,1.5807,0,0,0
6,47,705.5162,1,1,114
6,48,1.1618,0,0,0
6,49,702.1981,1,1,118
6,50,705.2925,1,1,113
6,51,704.1682,1,1,111
6,52,1.1441,0,0,0
6,53,1.0236,0,0,0
6,54,712.3847,1,1,120
6,55,701.7113,1,1,122
6,56,1.4151,0,0,0
6,57,713.1285,1,1,133
6,58,702.3328,1,1,190
6,59,701.7556,1,1,203
6,60,1.5951,0,0,0
6,61,707.2802,1,1,248
6,62,703.3472,1,1,320
6,63,1.3839,0,0,0
6,64,702.0709,1,1,349
6,65,702.9298,1,1,376
7,0,0.2432,0,0,0
7,1,0.7467,0,0,0
7,2,0.6539,0,0,0
7,3,701.7144,1,1,154
7,4,704.7925,1,1,67
7,5,1.5030,0,0,0
7,6,1.2066,0,0,0
7,7,711.5450,1,1,71
7,8,704.7386,1,1,69
7,9,706.2496,1,1,66
7,10,706.2677,1,1,65
7,11,702.1052,1,1,52
7,12,705.7469,1,1,53
7,13,1.2813,0,0,0
7,14,712.1800,1,1,59
7,15,704.7983,1,1,59
7,16,706.4511,1,1,60
7,17,701.8561,1,1,59
7,18,1.0130,0,0,0
7,19,1.3305,0,0,0
7,20,701.6236,1,1,57
7,21,708.5869,1,1,58
7,22,1.3037,0,0,0
7,23,1.2723,0,0,0
7,24,706.6774,1,1,59
7,25,1.3733,0,0,0
7,26,705.8159,1,1,65
7,27,706.4281,1,1,67
