game_number,game_id,episode_type,is_self_play_validation,timestamp,end_timestamp,result,reward,our_rating_before,our_rating_after,opponent_name,opponent_submission_id,opponent_team_id,opponent_rating,opponent_deck_hash,opponent_deck_ncards,opponent_deck_source,opponent_archetype,opponent_archetype_matched_cards,opponent_headline_signature,opponent_matchup_key,going_first,first_player_index,our_index,turns_ours,turns_opp,turns,steps,decision_count,invalid_actions,timeouts,near_decision_budget_calls_ge_1.8s,calls_ge_1.0s,errors_stderr_nonempty,stdout_nonempty_calls,fallback_count,safety_interventions,decision_duration_mean_s,decision_duration_median_s,decision_duration_max_s,decision_duration_p95_s,decision_duration_p99_s
14,92045248,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:21:51.417Z,2026-08-11T17:22:39.281Z,WIN,1,,,mato,54627596,16460544,,6c534f1524e51c74,60,action,Mega Lucario ex,4,Mega Lucario ex,Mega Lucario ex,False,0,1,14,13,15,171,108,NA,NA,0,0,0,0,NA,NA,0.0022675648148148147,0.0011485,0.117378,0.001629,0.001747
15,92046201,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:25:50.851Z,2026-08-11T17:26:33.389Z,WIN,1,,,sekken,55434159,16385268,,d2ef07dc657c62c6,60,action,Fezandipiti ex,1,"Fezandipiti ex, Latias ex",Fezandipiti ex,True,0,0,11,10,12,154,91,NA,NA,0,0,0,0,NA,NA,0.004690087912087912,0.001578,0.189784,0.002288,0.094185
16,92047143,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:29:50.775Z,2026-08-11T17:30:39.914Z,WIN,1,,,shinichiro uno3,53811070,16384179,,45eb109bc73c1b7b,60,action,Iono's (Bellibolt/Voltorb),5,Iono’s Bellibolt ex,Iono's (Bellibolt/Voltorb),True,0,0,13,12,14,263,103,NA,NA,0,0,0,0,NA,NA,0.004181611650485437,0.00134,0.187911,0.00201,0.002297
17,92048087,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:33:50.663Z,2026-08-11T17:34:36.807Z,WIN,1,,,Tarang222,55426363,16688147,,0b145865cca81cc4,60,action,UNLABELED,0,"Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra","UNLABELED[Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra]",True,0,0,17,16,18,155,99,NA,NA,0,0,0,0,NA,NA,0.004026070707070707,0.001425,0.171145,0.001885,0.089724
18,92049041,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:37:50.873Z,2026-08-11T17:38:28.613Z,WIN,1,,,Choruru,54930250,16386182,,831fd3a04060c7c2,60,action,UNLABELED,0,"Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra","UNLABELED[Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra]",False,0,1,4,3,5,51,34,NA,NA,0,0,0,0,NA,NA,0.0070288529411764705,0.0008925000000000001,0.121585,0.001383,0.088756
19,92049984,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:41:51.532Z,2026-08-11T17:42:33.756Z,WIN,1,,,Venture2525?,54460543,16456906,,59138a345c6b933a,60,action,Dragapult ex,3,"Dragapult ex, Fezandipiti ex, Latias ex, Meowth ex",Dragapult ex,True,1,1,13,12,14,198,105,NA,NA,0,0,0,0,NA,NA,0.003915733333333333,0.00143,0.166114,0.002204,0.002481
20,92050914,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:45:50.943Z,2026-08-11T17:46:34.990Z,WIN,1,,,[Deleted] 4ffa6ccc-5497-40ee-9dbf-2532eb85c676,54338364,16487058,,7c58f3915e31351e,60,action,UNLABELED,0,"Crustle, Dwebble, Great Tusk, Terrakion","UNLABELED[Crustle, Dwebble, Great Tusk, Terrakion]",False,0,1,26,25,27,228,173,NA,NA,0,0,0,0,NA,NA,0.002032456647398844,0.001245,0.132142,0.001749,0.002245
21,92051839,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:49:50.736Z,2026-08-11T17:50:30.959Z,WIN,1,,,saishivan,55377381,16695519,,0b145865cca81cc4,60,action,UNLABELED,0,"Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra","UNLABELED[Abra, Alakazam, Dudunsparce, Dunsparce, Kadabra]",True,0,0,11,10,12,184,110,NA,NA,0,0,0,0,NA,NA,0.0029880363636363635,0.001021,0.133315,0.001439,0.002138
22,92052778,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:53:50.416Z,2026-08-11T17:54:51.030Z,LOSS,-1,,,【共逐荣光】Timmy Juicehouse,55430227,16424674,,fcac695071c3f3cf,60,action,Fezandipiti ex,1,Fezandipiti ex,Fezandipiti ex,True,0,0,11,12,13,122,59,NA,NA,0,0,0,0,NA,NA,0.004492813559322034,0.001528,0.175945,0.002009,0.002229
23,92053714,EPISODE_TYPE_PUBLIC,False,2026-08-11T17:57:54.124Z,2026-08-11T17:58:30.529Z,LOSS,-1,,,xi luo,55415081,16593286,,37f2032236fb6baf,60,action,Mega Kangaskhan ex,4,Mega Kangaskhan ex,Mega Kangaskhan ex,False,0,1,18,19,20,160,108,NA,NA,0,0,0,0,NA,NA,0.0035728055555555556,0.0012720000000000001,0.13932,0.002005,0.002322
24,92054670,EPISODE_TYPE_PUBLIC,False,2026-08-11T18:01:50.466Z,2026-08-11T18:02:25.143Z,LOSS,-1,,,yuki16,54381655,16378344,,b166b6b93aa1670b,60,action,UNLABELED,0,Archaludon ex,UNLABELED[Archaludon ex],True,0,0,11,12,13,162,104,NA,NA,0,0,0,0,NA,NA,0.0025058846153846156,0.0008910000000000001,0.094581,0.00131,0.002062
