variant,description,opponents,games,aborted,draws,wins,losses,win_rate,invalid_actions,safety_fallback_used,safety_exceptions,timeouts,degraded_mode_activations,crashes,n_decisions_timed,mean_decision_ms,p95_decision_ms,p99_decision_ms,max_decision_ms
A,"existing baseline (plain dragapult_agent, safety_wrapper only)",abomasnow_agent;iono_agent;lucario_ex_agent,60,0,0,35,25,0.5833,0,0,0,N/A (no timeout_shield),N/A,0,5038,0.289,0.0,16.0,16.0
B,+ Going First/Second (dragapult_agent_always_first),abomasnow_agent;iono_agent;lucario_ex_agent,60,0,0,32,28,0.5333,0,0,0,N/A (no timeout_shield),N/A,0,4738,0.452,0.0,16.0,16.0
C,"+ Bayesian opponent prediction (no-op for this deck, see report)",abomasnow_agent;iono_agent;lucario_ex_agent,60,0,0,34,26,0.5667,0,0,0,N/A (no timeout_shield),N/A,0,4684,0.495,0.0,16.0,31.0
D,"+ validated counter (no-op for this deck, see report)",abomasnow_agent;iono_agent;lucario_ex_agent,60,0,0,34,26,0.5667,0,0,0,N/A (no timeout_shield),N/A,0,5079,0.552,0.0,16.0,32.0
E,+ all production safety (timeout_shield + safety_wrapper) == final_candidate_agent,abomasnow_agent;iono_agent;lucario_ex_agent,60,0,0,31,29,0.5167,0,0,0,0,0,0,4773,0.609,0.0,16.0,16.0
