episode_id,game_id,episode_type,timestamp,result,reward,opponent,our_rating,opponent_rating,replay_available,log_available,replay_path,log_path,coverage
92064256,92064256,EPISODE_TYPE_PUBLIC,2026-08-11T18:41:51.985Z,WIN,1,kunai,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92064256-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92064256-agent-0-logs.json,BOTH_AVAILABLE
92063308,92063308,EPISODE_TYPE_PUBLIC,2026-08-11T18:37:50.779Z,LOSS,-1,G-Lin1k,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92063308-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92063308-agent-1-logs.json,BOTH_AVAILABLE
92058494,92058494,EPISODE_TYPE_PUBLIC,2026-08-11T18:17:50.635Z,LOSS,-1,John Mitchell,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92058494-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92058494-agent-0-logs.json,BOTH_AVAILABLE
92057550,92057550,EPISODE_TYPE_PUBLIC,2026-08-11T18:13:50.720Z,WIN,1,Guu Yangqi,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92057550-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92057550-agent-1-logs.json,BOTH_AVAILABLE
92056608,92056608,EPISODE_TYPE_PUBLIC,2026-08-11T18:09:50.624Z,LOSS,-1,Rintaro Moriwaki,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92056608-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92056608-agent-0-logs.json,BOTH_AVAILABLE
92055639,92055639,EPISODE_TYPE_PUBLIC,2026-08-11T18:05:53.719Z,LOSS,-1,H.Y,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92055639-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92055639-agent-0-logs.json,BOTH_AVAILABLE
92054670,92054670,EPISODE_TYPE_PUBLIC,2026-08-11T18:01:50.466Z,LOSS,-1,yuki16,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92054670-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92054670-agent-0-logs.json,BOTH_AVAILABLE
92053714,92053714,EPISODE_TYPE_PUBLIC,2026-08-11T17:57:54.124Z,LOSS,-1,xi luo,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92053714-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92053714-agent-1-logs.json,BOTH_AVAILABLE
92052778,92052778,EPISODE_TYPE_PUBLIC,2026-08-11T17:53:50.416Z,LOSS,-1,【共逐荣光】Timmy Juicehouse,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92052778-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92052778-agent-0-logs.json,BOTH_AVAILABLE
92051839,92051839,EPISODE_TYPE_PUBLIC,2026-08-11T17:49:50.736Z,WIN,1,saishivan,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92051839-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92051839-agent-0-logs.json,BOTH_AVAILABLE
92050914,92050914,EPISODE_TYPE_PUBLIC,2026-08-11T17:45:50.943Z,WIN,1,[Deleted] 4ffa6ccc-5497-40ee-9dbf-2532eb85c676,NA,NA,True,True,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\replays\episode-92050914-replay.json,C:\Users\sertru1000\Projects\PokemonGame\data\kaggle_ladder\agent_logs\episode-92050914-agent-1-logs.json,BOTH_AVAILABLE
