variant_type,variant_value,selected_archetype,expected_win_rate,changed_from_default
matchup_min_sample_threshold,20,Teal Mask Ogerpon ex,0.5721,False
matchup_min_sample_threshold,50,Teal Mask Ogerpon ex,0.6339,False
matchup_min_sample_threshold,100,Teal Mask Ogerpon ex,0.5515,False
prior_recency,full_history,Teal Mask Ogerpon ex,0.6339,False
prior_recency,recent_50pct,Teal Mask Ogerpon ex,0.6671,False
prior_recency,recent_25pct,Teal Mask Ogerpon ex,0.6298,False
prior_recency,recent_period_weeks6to8,Teal Mask Ogerpon ex,0.664,False
uncertainty_handling,raw_empirical_with_fallback,Teal Mask Ogerpon ex,0.6339,False
uncertainty_handling,conservative_wilson_lower_bound,Teal Mask Ogerpon ex,0.4189,False
