target_archetype,current_meta_share,relevance_tier,validated_counter_count,covered_by_1plus,covered_by_2plus
Marnie's Grimmsnarl ex,0.4347,HIGH,0,False,False
Fezandipiti ex,0.1487,MEDIUM,1,True,False
Mega Kangaskhan ex,0.0951,MEDIUM,0,False,False
Mega Lopunny ex,0.0943,MEDIUM,0,False,False
Teal Mask Ogerpon ex,0.0717,MEDIUM,0,False,False
Dragapult ex,0.0513,MEDIUM,0,False,False
Team Rocket's Mewtwo ex,0.0294,LOW,0,False,False
Cynthia's Garchomp ex,0.0275,LOW,0,False,False
Mega Lucario ex,0.0223,LOW,0,False,False
