agent_x,agent_y,games,aborted,draws,x_wins,y_wins,x_win_rate_overall,x_win_rate_as_slot0,x_win_rate_as_slot1,x_games_as_slot0,x_games_as_slot1
abomasnow_agent,dragapult_agent,200,0,0,88,112,0.44,0.44,0.44,100,100
abomasnow_agent,iono_agent,200,0,0,37,163,0.185,0.24,0.13,100,100
abomasnow_agent,random_agent,200,0,0,183,17,0.915,0.92,0.91,100,100
dragapult_agent,iono_agent,200,0,0,131,69,0.655,0.68,0.63,100,100
dragapult_agent,random_agent,200,0,0,195,5,0.975,0.99,0.96,100,100
iono_agent,random_agent,200,0,0,197,3,0.985,0.98,0.99,100,100
