metric,luca,v2_balanced
games_analyzed,69,150
win_rate_overall,0.7391304347826086,0.5733333333333334
win_rate_going_first,0.7428571428571429,0.49333333333333335
win_rate_going_second,0.7352941176470589,0.6533333333333333
avg_turns_all,10.768115942028986,11.94
avg_turns_wins,10.901960784313726,11.94186046511628
avg_turns_losses,10.38888888888889,11.9375
retreat_rate_per_decision,0.010160880609652836,0.015378115758343896
turn_attack_rate,0.8121019108280255,0.7880133185349611
games_with_2plus_prize_deficit_share,0.2028985507246377,0.37333333333333335
avg_max_deficit_in_wins,0.27450980392156865,0.7209302325581395
avg_max_deficit_in_losses,1.8888888888888888,2.390625
comeback_rate_when_2plus_behind,0.35714285714285715,0.21428571428571427
