game_id,result,went_first,turns,n_decisions,main_decisions,retreat_chosen,attack_chosen_count,turns_with_attack_chosen,turns_with_main_visited,max_prize_deficit_faced,final_prize_margin_positive_means_behind,comeback_from_2plus_deficit
1786510596_f5677d5e_126,WIN,False,10,80,34,0,5,5,5,1,-1,False
1786510596_f5677d5e_127,LOSS,True,8,20,11,0,3,3,4,1,1,False
1786510596_f5677d5e_128,WIN,False,14,100,47,1,7,7,7,1,-2,False
1786510596_f5677d5e_129,LOSS,True,14,88,40,2,6,6,7,2,1,False
1786510596_f5677d5e_130,LOSS,False,13,46,27,2,4,4,6,3,3,False
1786510596_f5677d5e_131,LOSS,True,10,73,42,0,2,2,5,5,5,False
1786510596_f5677d5e_132,LOSS,False,13,70,33,1,2,2,6,3,2,False
1786510596_f5677d5e_133,WIN,True,13,96,46,0,6,6,7,1,-1,False
1786510596_f5677d5e_134,WIN,False,12,110,50,1,4,4,6,1,0,False
1786510596_f5677d5e_135,LOSS,True,12,66,36,2,3,3,6,4,4,False
1786510596_f5677d5e_136,WIN,False,10,56,27,2,5,5,5,0,-4,False
1786510596_f5677d5e_137,LOSS,True,12,73,33,1,4,4,6,0,0,False
1786510596_f5677d5e_138,WIN,False,12,89,41,1,5,5,6,2,-2,True
1786510596_f5677d5e_139,LOSS,True,12,69,31,2,3,3,6,2,2,False
1786510596_f5677d5e_140,WIN,False,10,92,40,2,5,5,5,0,-5,False
1786510596_f5677d5e_141,WIN,True,13,114,53,0,6,6,7,1,-1,False
1786510596_f5677d5e_142,WIN,False,14,124,53,3,7,7,7,0,-2,False
1786510596_f5677d5e_143,WIN,True,11,87,36,2,5,5,6,2,-1,True
1786510596_f5677d5e_144,WIN,False,4,32,18,2,2,2,2,0,0,False
1786510596_f5677d5e_145,WIN,True,13,98,49,1,6,6,7,1,-1,False
1786510596_f5677d5e_146,LOSS,False,11,61,37,0,2,2,5,4,4,False
1786510596_f5677d5e_147,LOSS,True,10,56,35,2,3,3,5,3,3,False
1786510596_f5677d5e_148,WIN,False,12,91,42,1,6,6,6,0,-3,False
1786510596_f5677d5e_149,LOSS,True,6,13,5,0,2,2,3,0,0,False
