episode_id,label,n_turns,went_first,final_prize_margin_positive_means_behind,max_prize_deficit_faced,last3_own_decisions_action_classes,retreat_available_in_last3_decisions,bench_target_available_in_last3_decisions,lost_a_2plus_prize_attacker_this_game,missed_ko_events_this_game,energy_attach_per_turn
92508524,v4,6,False,4,4,?;?;?,False,True,False,0,0.5
92509485,v4,7,True,3,3,?;?;ATTACH_ENERGY,False,True,True,0,0.42857142857142855
92510427,v4,13,True,1,1,?;?;?,False,True,True,3,0.5384615384615384
92511381,v4,10,False,4,4,RETREAT;?;?,True,True,True,0,0.5
92512330,v4,13,True,-1,2,?;?;?,False,True,True,0,0.46153846153846156
92514236,v4,5,True,0,0,?;ATTACH_ENERGY;?,False,True,False,1,0.4
92515189,v4,6,False,0,0,?;?;?,False,True,False,0,0.6666666666666666
92516121,v4,12,False,4,4,RETREAT;?;?,True,True,True,0,0.5
92517062,v4,11,True,1,4,?;?;?,False,True,True,0,0.45454545454545453
92518009,v4,11,True,4,4,?;?;?,False,True,True,0,0.36363636363636365
